name,rds_name,schedule_url,table_url,start
Slovakia relegation,svk_super-liga_2025-2026_relegation.rds,https://www.worldfootball.net/all_matches/svk-super-liga-2025-2026-relegation/,https://www.worldfootball.net/schedule/svk-super-liga-2025-2026-relegation-spieltag/99/,s
Slovenia,svn_prvaliga_2025-2026.rds,https://www.worldfootball.net/all_matches/svn-prvaliga-2025-2026/,https://www.worldfootball.net/schedule/svn-prvaliga-2025-2026-spieltag/99/,f
Spain,esp_primera-division_2025-2026.rds,https://www.worldfootball.net/all_matches/esp-primera-division-2025-2026/,https://www.worldfootball.net/schedule/esp-primera-division-2025-2026-spieltag/99/,f
Spain Primera RFEF 1,esp_primera-rfef-grupo-1_2025-2026.rds,https://www.worldfootball.net/all_matches/esp-primera-rfef-grupo-1-2025-2026/,https://www.worldfootball.net/schedule/esp-primera-rfef-grupo-1-2025-2026-spieltag/99/,f
Spain Primera RFEF 2,esp_primera-rfef-grupo-2_2025-2026.rds,https://www.worldfootball.net/all_matches/esp-primera-rfef-grupo-2-2025-2026/,https://www.worldfootball.net/schedule/esp-primera-rfef-grupo-2-2025-2026-spieltag/99/,f
Spain Segunda División,esp_segunda-division_2025-2026.rds,https://www.worldfootball.net/all_matches/esp-segunda-division-2025-2026/,https://www.worldfootball.net/schedule/esp-segunda-division-2025-2026-spieltag/99/,f
Sweden,swe_allsvenskan_2025.rds,https://www.worldfootball.net/all_matches/swe-allsvenskan-2025/,https://www.worldfootball.net/schedule/swe-allsvenskan-2025-spieltag/99/,s
Sweden Superettan,swe_superettan_2025.rds,https://www.worldfootball.net/all_matches/swe-superettan-2025/,https://www.worldfootball.net/schedule/swe-superettan-2025-spieltag/99/,s
Switzerland,sui_super-league_2025-2026.rds,https://www.worldfootball.net/all_matches/sui-super-league-2025-2026/,https://www.worldfootball.net/schedule/sui-super-league-2025-2026-spieltag/99/,f
Switzerland Challenge,sui_challenge-league_2025-2026.rds,https://www.worldfootball.net/all_matches/sui-challenge-league-2025-2026/,https://www.worldfootball.net/schedule/sui-challenge-league-2025-2026-spieltag/99/,f
Switzerland Promotion,sui_promotion-league_2025-2026.rds,https://www.worldfootball.net/all_matches/sui-promotion-league-2025-2026/,https://www.worldfootball.net/schedule/sui-promotion-league-2025-2026-spieltag/99/,f
Switzerland championship,sui_super-league_2025-2026_championship.rds,https://www.worldfootball.net/all_matches/sui-super-league-2025-2026-championship/,https://www.worldfootball.net/schedule/sui-super-league-2025-2026-championship-spieltag/99/,s
Switzerland relegation,sui_super-league_2025-2026_relegation.rds,https://www.worldfootball.net/all_matches/sui-super-league-2025-2026-relegation/,https://www.worldfootball.net/schedule/sui-super-league-2025-2026-relegation-spieltag/99/,s
Turkey,tur_sueperlig_2025-2026.rds,https://www.worldfootball.net/all_matches/tur-sueperlig-2025-2026/,https://www.worldfootball.net/schedule/tur-sueperlig-2025-2026-spieltag/99/,f
UEFA Champions League,uefa_cl_2025-2026.rds,https://www.worldfootball.net/all_matches/champions-league-2025-2026/,https://www.worldfootball.net/schedule/champions-league-2025-2026-ligaphase/99/,f
